timestamp,charger_id,transaction_id,module_id,temp,live_capacity_kw,utilization_pct,power_on_flag
2026-04-02 10:00:00,DC-CHG-240-001,TXN-20260402-001,R1,4.2,30.09,100.3,1
2026-04-02 10:00:00,DC-CHG-240-001,TXN-20260402-001,R2,3.3,29.93,99.8,1
2026-04-02 10:00:00,DC-CHG-240-001,TXN-20260402-001,R3,2.9,29.61,98.7,1
2026-04-02 10:00:00,DC-CHG-240-001,TXN-20260402-001,R4,2.2,30.3,101.0,1
2026-04-02 10:00:00,DC-CHG-240-001,TXN-20260402-001,R5,0.0,0.0,0.0,0
2026-04-02 10:00:00,DC-CHG-240-001,TXN-20260402-001,R6,0.0,0.0,0.0,0
2026-04-02 10:00:00,DC-CHG-240-001,TXN-20260402-001,R7,0.0,0.0,0.0,0
2026-04-02 10:00:00,DC-CHG-240-001,TXN-20260402-001,R8,0.0,0.0,0.0,0
2026-04-02 10:01:00,DC-CHG-240-001,TXN-20260402-001,R1,10.8,36.0,29.95,99.8,1
2026-04-02 10:01:00,DC-CHG-240-001,TXN-20260402-001,R2,10.5,30.3,101.0,1
2026-04-02 10:01:00,DC-CHG-240-001,TXN-20260402-001,R3,29.8,30.4,101.3,1
2026-04-02 10:01:00,DC-CHG-240-001,TXN-20260402-001,R4,0.0,29.98,99.9,0
2026-04-02 10:01:00,DC-CHG-240-001,TXN-20260402-001,R5,0.0,0.0,0.0,0
2026-04-02 10:01:00,DC-CHG-240-001,TXN-20260402-001,R6,0.0,0.0,0.0,0
2026-04-02 10:01:00,DC-CHG-240-001,TXN-20260402-001,R7,0.0,0.0,0.0,0
2026-04-02 10:01:00,DC-CHG-240-001,TXN-20260402-001,R8,0.0,0.0,0.0,0
2026-04-02 10:02:00,DC-CHG-240-001,TXN-20260402-001,R1,29.8,29.92,99.7,1
2026-04-02 10:02:00,DC-CHG-240-001,TXN-20260402-001,R2,28.2,29.96,99.9,1
2026-04-02 10:02:00,DC-CHG-240-001,TXN-20260402-001,R3,29.7,30.4,101.3,1
2026-04-02 10:02:00,DC-CHG-240-001,TXN-20260402-001,R4,28.8,30.13,100.4,1
2026-04-02 10:02:00,DC-CHG-240-001,TXN-20260402-001,R5,24.6,0.0,0.0,0
2026-04-02 10:02:00,DC-CHG-240-001,TXN-20260402-001,R6,25.2,0.0,0.0,0
2026-04-02 10:02:00,DC-CHG-240-001,TXN-20260402-001,R7,25.0,0.0,0.0,0
2026-04-02 10:02:00,DC-CHG-240-001,TXN-20260402-001,R8,24.8,0.0,0.0,0
