timestamp,charger_id,transaction_id,module_id,temp,live_capacity_kw,utilization_pct,power_on_flag,minutes_into_session
2026-01-01 13:16:00,DC-CHG-240-001,TXN-20260101-001,R1,17.644759036422048,29.13940551840444,60.0,1,0.0
2026-01-01 13:17:00,DC-CHG-240-001,TXN-20260101-001,R1,18.971663587759814,29.27112842493364,60.0,1,1.0
2026-01-01 13:18:00,DC-CHG-240-001,TXN-20260101-001,R1,19.55676698762853,29.14615780061888,60.0,1,2.0
2026-01-01 13:19:00,DC-CHG-240-001,TXN-20260101-001,R1,20.05897269793973,29.543856064030795,60.0,1,3.0
2026-01-01 13:20:00,DC-CHG-240-001,TXN-20260101-001,R1,19.663641059413404,29.39864803842504,60.0,1,4.0
2026-01-01 13:21:00,DC-CHG-240-001,TXN-20260101-001,R1,20.661825113766493,29.587397493558345,60.0,1,5.0
2026-01-01 13:22:00,DC-CHG-240-001,TXN-20260101-001,R1,21.421197018112565,29.80785876436685,60.0,1,6.0
2026-01-01 13:23:00,DC-CHG-240-001,TXN-20260101-001,R1,21.282952614157367,29.71084037869931,60.0,1,7.0
2026-01-01 13:24:00,DC-CHG-240-001,TXN-20260101-001,R1,22.31677198407088,29.780667114402203,60.0,1,8.0
2026-01-01 13:25:00,DC-CHG-240-001,TXN-20260101-001,R1,23.120866589952183,29.591662809405356,60.0,1,9.0
2026-01-01 13:26:00,DC-CHG-240-001,TXN-20260101-001,R1,22.58403189709569,29.51579405996258,60.0,1,10.0
2026-01-01 13:27:00,DC-CHG-240-001,TXN-20260101-001,R1,24.26911391564825,29.81695100466353,60.0,1,11.0
2026-01-01 13:28:00,DC-CHG-240-001,TXN-20260101-001,R1,24.288813350513223,29.770316127808684,60.0,1,12.0
2026-01-01 13:29:00,DC-CHG-240-001,TXN-20260101-001,R1,23.784538456838213,30.0,60.0,1,13.0
2026-01-01 13:30:00,DC-CHG-240-001,TXN-20260101-001,R1,25.310177022405465,30.0,60.0,1,14.0
2026-01-01 13:31:00,DC-CHG-240-001,TXN-20260101-001,R1,25.202813460610557,30.0,60.0,1,15.0
2026-01-01 13:32:00,DC-CHG-240-001,TXN-20260101-001,R1,24.92705401981529,29.82176840364109,60.0,1,16.0
2026-01-01 13:33:00,DC-CHG-240-001,TXN-20260101-001,R1,26.3860881499164,29.94523852135349,60.0,1,17.0
2026-01-01 13:34:00,DC-CHG-240-001,TXN-20260101-001,R1,27.15201774534241,30.0,60.0,1,18.0
2026-01-01 13:35:00,DC-CHG-240-001,TXN-20260101-001,R1,26.697856648549543,30.0,60.0,1,19.0
2026-01-01 13:36:00,DC-CHG-240-001,TXN-20260101-001,R1,27.05359772936918,30.0,60.0,1,20.0
2026-01-01 13:37:00,DC-CHG-240-001,TXN-20260101-001,R1,27.448670046379394,30.0,60.0,1,21.0
2026-01-01 13:38:00,DC-CHG-240-001,TXN-20260101-001,R1,28.62345467634916,30.0,60.0,1,22.0
2026-01-01 13:39:00,DC-CHG-240-001,TXN-20260101-001,R1,28.976508575821438,30.0,60.0,1,23.0
2026-01-01 13:40:00,DC-CHG-240-001,TXN-20260101-001,R1,30.01082357278738,30.0,60.0,1,24.0
2026-01-01 13:41:00,DC-CHG-240-001,TXN-20260101-001,R1,30.32724221055597,30.0,60.0,1,25.0
2026-01-01 13:42:00,DC-CHG-240-001,TXN-20260101-001,R1,29.67738829604961,30.0,60.0,1,26.0
2026-01-01 13:43:00,DC-CHG-240-001,TXN-20260101-001,R1,30.96671962994808,30.0,60.0,1,27.0
2026-01-01 13:44:00,DC-CHG-240-001,TXN-20260101-001,R1,31.65927620052329,30.0,60.0,1,28.0
2026-01-01 13:45:00,DC-CHG-240-001,TXN-20260101-001,R1,32.32353391098091,30.0,60.0,1,29.0
2026-01-01 13:46:00,DC-CHG-240-001,TXN-20260101-001,R1,31.004014213294926,30.0,60.0,1,30.0
2026-01-01 13:47:00,DC-CHG-240-001,TXN-20260101-001,R1,32.06744246818749,30.0,60.0,1,31.0
2026-01-01 13:48:00,DC-CHG-240-001,TXN-20260101-001,R1,32.114917491905544,30.0,60.0,1,32.0
2026-01-01 13:49:00,DC-CHG-240-001,TXN-20260101-001,R1,32.55841505509861,30.0,60.0,1,33.0
2026-01-01 13:50:00,DC-CHG-240-001,TXN-20260101-001,R1,33.28220031319897,30.0,60.0,1,34.0
2026-01-01 13:51:00,DC-CHG-240-001,TXN-20260101-001,R1,33.98372573935619,30.0,60.0,1,35.0
2026-01-01 13:52:00,DC-CHG-240-001,TXN-20260101-001,R1,34.92987153569951,30.0,60.0,1,36.0
2026-01-01 13:53:00,DC-CHG-240-001,TXN-20260101-001,R1,35.52091748642864,30.0,60.0,1,37.0
2026-01-01 13:54:00,DC-CHG-240-001,TXN-20260101-001,R1,34.82113440910849,30.0,60.0,1,38.0
2026-01-01 13:55:00,DC-CHG-240-001,TXN-20260101-001,R1,35.78824688360938,30.0,60.0,1,39.0
2026-01-01 13:56:00,DC-CHG-240-001,TXN-20260101-001,R1,37.44451754065402,30.0,60.0,1,40.0
2026-01-01 13:57:00,DC-CHG-240-001,TXN-20260101-001,R1,36.28376240527396,30.0,60.0,1,41.0
