charger_id,transaction_id,rectifier_id,session_start_time,session_end_time,session_duration_min,power_on_flag,was_active,active_minutes,live_capacity_kw,live_capacity_kw_max,live_capacity_kw_min,utilization_pct,utilization_pct_max,temp,temp_max,temp_min,temp_end,delta_temp,temp_slope,temp_above_threshold,high_temp_ratio,rank_score,cumulative_runtime_last_24h,cumulative_runtime_last_7d,cumulative_energy_last_7d,avg_temp_last_7d,max_temp_last_7d,count_high_temp_events_last_7d,cooldown_minutes_since_last_use,last_session_temp_end,last_session_peak_temp,target_rank
DC-CHG-240-001,TXN-20260101-001,R5,2026-01-01 13:16:00,2026-01-01 14:44:00,88.0,1,1,89,29.95121944514865,30.0,29.337865856763,60.0,60.0,42.27249059365088,61.86496882812267,23.24776744776296,61.59917261394493,38.35140516618197,0.4470744054547419,28,31.46067415730337,11.98048777805946,112.0,112.0,55.73907642723316,43.27950481428988,63.64666302250938,1,113.0,63.64666302250938,63.64666302250938,1
DC-CHG-240-001,TXN-20260101-001,R3,2026-01-01 13:16:00,2026-01-01 14:44:00,88.0,1,1,89,29.94744174399565,30.0,29.15172885387493,60.0,60.0,40.39005971549158,60.57575118167371,19.567361306171566,60.57575118167371,41.00838987550215,0.45256411986002554,24,26.96629213483146,11.97897669759826,112.0,112.0,55.70088161494696,41.08505263555424,61.289908251411966,1,113.0,61.27678061648152,61.289908251411966,2
DC-CHG-240-001,TXN-20260101-001,R7,2026-01-01 13:16:00,2026-01-01 14:44:00,88.0,1,1,89,29.944217368635133,30.0,29.14320462254981,60.0,60.0,44.34121205828716,64.05626862001321,24.87907071837288,64.05626862001321,39.177197901640334,0.4474460604007256,32,35.95505617977528,11.977686947454053,112.0,112.0,55.734941801072566,45.62771856701072,65.75737086129963,1,113.0,65.75737086129963,65.75737086129963,3
DC-CHG-240-001,TXN-20260101-001,R8,2026-01-01 13:16:00,2026-01-01 14:44:00,88.0,1,1,89,29.942470996506913,30.0,29.31594904831584,60.0,60.0,45.37783373044969,64.97480824871965,25.2563521642519,64.7546351960781,39.4982830318262,0.4473239174119807,35,39.325842696629216,11.976988398602765,112.0,112.0,0.0,22.661093585193584,27.80935654226756,0,113.0,22.661093585193584,27.80935654226756,4
DC-CHG-240-001,TXN-20260101-001,R2,2026-01-01 13:16:00,2026-01-01 14:44:00,88.0,1,1,89,29.941684042183784,30.0,29.284659414858584,60.0,60.0,39.21970201708314,59.83527674140672,18.845191023736582,59.83527674140672,40.99008571767014,0.4508906139344708,21,23.595505617977526,11.976673616873514,112.0,112.0,55.7405244777468,39.82665026865894,60.05331252485303,1,113.0,60.05331252485303,60.05331252485303,5
DC-CHG-240-001,TXN-20260101-001,R6,2026-01-01 13:16:00,2026-01-01 14:44:00,88.0,1,1,89,29.936020114717884,30.0,29.071382346529667,60.0,60.0,43.38021270399858,63.83876901271239,23.16732416421911,63.83876901271239,40.626123436162146,0.4506525108455028,30,33.70786516853933,11.974408045887152,112.0,112.0,55.734883441001415,44.52595374105287,63.62802836726752,1,113.0,63.47026283809276,63.62802836726752,6
DC-CHG-240-001,TXN-20260101-001,R4,2026-01-01 13:16:00,2026-01-01 14:44:00,88.0,1,1,89,29.934947446606575,30.0,29.091179577640855,60.0,60.0,41.269353911613045,61.45200798653752,21.41806231094108,61.45200798653752,39.79814338452333,0.45170806899275023,24,26.96629213483146,11.97397897864263,112.0,112.0,55.739552267969785,42.175371351535844,62.05406001546976,1,113.0,61.107611988353554,62.05406001546976,7
DC-CHG-240-001,TXN-20260101-001,R1,2026-01-01 13:16:00,2026-01-01 14:44:00,88.0,1,1,89,29.930872927239037,30.0,29.13940551840444,60.0,60.0,38.22179486400777,57.3693996835993,17.644759036422048,57.3693996835993,39.72464064717725,0.44766044580755004,18,20.224719101123593,11.972349170895614,112.0,112.0,55.729862781883575,38.806995660595206,58.35861073419903,1,113.0,57.87332176242261,58.35861073419903,8
DC-CHG-240-001,TXN-20260101-002,R3,2026-01-01 18:10:00,2026-01-01 19:51:00,101.0,1,1,102,29.828787707039805,30.0,28.656272909691197,99.66729778234593,102.0,42.44666787326175,62.57035101702045,22.964844409676303,62.57035101702045,39.60550660734415,0.3918787071289271,31,30.392156862745097,0.09924103820064716,200.0,200.0,99.62379617280725,40.73755617552291,61.289908251411966,2,206.0,60.57575118167371,60.57575118167371,1
DC-CHG-240-001,TXN-20260101-002,R2,2026-01-01 18:10:00,2026-01-01 19:51:00,101.0,1,1,102,29.8498721357516,30.0,28.710132508878623,99.72755941350228,102.0,40.33509325509125,59.97010522935402,19.721218894568857,59.97010522935402,40.24888633478516,0.39125530440538625,26,25.49019607843137,0.08132316671546201,200.0,200.0,99.65499440628302,39.52317614287104,60.05331252485303,2,206.0,59.83527674140672,59.83527674140672,2
